num,tactic,example,battle,date,war,parties,friendly,enemy,location,outcome,front_png,back_png,front_webp,back_webp
1,Double Envelopment,"Cannae, 216 BCE",Battle of Cannae,216 BCE,Second Punic War,Hannibal vs. Rome,Carthaginian Forces,Roman Forces,"Apulia, southeastern Italy",Decisive Carthaginian victory,card_01_front_double_envelopment.png,card_01_back_battle_of_cannae.png,card_01_front.webp,card_01_back.webp
2,Flanking Attack,"Rossbach, 1757",Battle of Rossbach,1757,Seven Years’ War,Frederick the Great vs. Franco-Imperial Army,Prussian Forces,Franco-Imperial Forces,"Rossbach, central Germany",Decisive Prussian victory,card_02_front_flanking_attack.png,card_02_back_battle_of_rossbach.png,card_02_front.webp,card_02_back.webp
3,Single Envelopment,"Chancellorsville, 1863",Battle of Chancellorsville,1863,American Civil War,Lee & Jackson vs. Hooker,Confederate Forces,Union Forces,"Spotsylvania County, Virginia",Confederate victory,card_03_front_single_envelopment.png,card_03_back_battle_of_chancellorsville.png,card_03_front.webp,card_03_back.webp
4,Oblique Order,"Leuthen, 1757",Battle of Leuthen,1757,Seven Years’ War,Frederick the Great vs. Austria,Prussian Forces,Austrian Forces,"Silesia, near modern Wrocław",Decisive Prussian victory,card_04_front_oblique_order.png,card_04_back_battle_of_leuthen.png,card_04_front.webp,card_04_back.webp
5,Defense in Depth,"Kursk, 1943",Battle of Kursk,1943,Eastern Front,Germany vs. Soviet Union,Soviet Forces,German Forces,"Kursk salient, western Russia",Soviet strategic victory,card_05_front_defense_in_depth.png,card_05_back_battle_of_kursk.png,card_05_front.webp,card_05_back.webp
6,Feigned Retreat,"Hastings, 1066",Battle of Hastings,1066,Norman Conquest,William vs. Harold,Norman Forces,Anglo-Saxon Forces,"Near Hastings, southern England",Decisive Norman victory,card_06_front_feigned_retreat.png,card_06_back_battle_of_hastings.png,card_06_front.webp,card_06_back.webp
7,Pincer Movement,"Tannenberg, 1914",Battle of Tannenberg,1914,World War I,Germany vs. Russia,German Forces,Russian Second Army,East Prussia,Decisive German victory,card_07_front_pincer_movement.png,card_07_back_battle_of_tannenberg.png,card_07_front.webp,card_07_back.webp
8,Turning Movement,"Ulm Campaign, 1805",Ulm Campaign,1805,Napoleonic Wars,Napoleon vs. Mack,French Forces,Austrian Forces,"Ulm, southern Germany",Austrian army surrendered,card_08_front_turning_movement.png,card_08_back_ulm_campaign.png,card_08_front.webp,card_08_back.webp
9,Penetration,"Caporetto, 1917",Battle of Caporetto,1917,World War I,Central Powers vs. Italy,Austro-German Forces,Italian Forces,"Isonzo front, northeastern Italy",Central Powers breakthrough,card_09_front_penetration.png,card_09_back_battle_of_caporetto.png,card_09_front.webp,card_09_back.webp
10,Breakthrough,"Amiens, 1918",Battle of Amiens,1918,World War I,Allies vs. Germany,Allied Forces,German Forces,"Somme sector, France",Major Allied victory,card_10_front_breakthrough.png,card_10_back_battle_of_amiens.png,card_10_front.webp,card_10_back.webp
11,Exploitation,"Megiddo, 1918",Battle of Megiddo,1918,World War I,Allenby vs. Ottoman forces,Allied Forces,Ottoman Forces,Palestine front,Decisive Allied victory,card_11_front_exploitation.png,card_11_back_battle_of_megiddo.png,card_11_front.webp,card_11_back.webp
12,Encirclement,"Falaise Pocket, 1944",Falaise Pocket,1944,World War II,Allies vs. Germany,Allied Forces,German Forces,"Normandy, France",Major Allied victory,card_12_front_encirclement.png,card_12_back_falaise_pocket.png,card_12_front.webp,card_12_back.webp
13,Main Effort / Schwerpunkt,"Sedan, 1940",Breakthrough at Sedan,1940,World War II,Germany vs. France,German Forces,French Forces,"Sedan, France",German breakthrough,card_13_front_main_effort_schwerpunkt.png,card_13_back_breakthrough_at_sedan.png,card_13_front.webp,card_13_back.webp
14,Concentration of Force,"Austerlitz, 1805",Battle of Austerlitz,1805,Napoleonic Wars,Napoleon vs. Allies,French Forces,Austro-Russian Forces,"Moravia, near Slavkov",Decisive French victory,card_14_front_concentration_of_force.png,card_14_back_battle_of_austerlitz.png,card_14_front.webp,card_14_back.webp
15,Interior Lines,"Six Days’ Campaign, 1814",Six Days’ Campaign,1814,Napoleonic Wars,Napoleon vs. Coalition armies,French Forces,Coalition Forces,Northeastern France,Series of French victories,card_15_front_interior_lines.png,card_15_back_six_days_campaign.png,card_15_front.webp,card_15_back.webp
16,Economy of Force,"Austerlitz, 1805",Battle of Austerlitz,1805,Napoleonic Wars,Napoleon vs. Allies,French Forces,Austro-Russian Forces,"Moravia, near Slavkov",Decisive French victory,card_16_front_economy_of_force.png,card_16_back_battle_of_austerlitz.png,card_16_front.webp,card_16_back.webp
17,Reserve Commitment,"Waterloo, 1815",Battle of Waterloo,1815,Napoleonic Wars,Napoleon vs. Coalition,Allied Forces,French Forces,"Waterloo, Belgium",Coalition victory,card_17_front_reserve_commitment.png,card_17_back_battle_of_waterloo.png,card_17_front.webp,card_17_back.webp
